run,name,position,color,bowl,task,success,failure_type,duration_s,timestamp,policy,mode
act100k_pair,act100k_pair,10,blue,right,put the blue block in the right bowl,0,no_reach,44.4,2026-09-09T20:47:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,44.3,2026-09-09T20:48:22,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,12,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.3,2026-09-09T20:49:26,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,44.7,2026-09-09T20:50:25,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,14,blue,right,put the blue block in the right bowl,1,,44.4,2026-09-09T20:51:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,15,red,left,put the red block in the left bowl,1,,44.5,2026-09-09T20:52:26,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,16,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.3,2026-09-09T20:53:23,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,17,red,left,put the red block in the left bowl,1,,44.2,2026-09-09T20:54:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,44.2,2026-09-09T20:55:27,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,19,red,left,put the red block in the left bowl,0,drop,44.3,2026-09-09T20:56:45,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.8,2026-09-09T20:57:45,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
smolvla100_pair,smolvla100_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,61.8,2026-09-09T10:51:31,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,2,blue,right,put the blue block in the right bowl,1,,60.0,2026-09-09T10:53:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,3,red,left,put the red block in the left bowl,0,touch_no_grip,59.7,2026-09-09T10:54:38,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,59.5,2026-09-09T10:56:18,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,5,red,left,put the red block in the left bowl,1,,59.9,2026-09-09T10:59:02,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,6,blue,right,put the blue block in the right bowl,1,,59.6,2026-09-09T11:06:28,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,62.0,2026-09-09T11:07:59,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,8,blue,right,put the blue block in the right bowl,0,timeout,60.8,2026-09-09T11:09:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,9,red,left,put the red block in the left bowl,0,no_reach,59.7,2026-09-09T11:11:24,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,10,blue,right,put the blue block in the right bowl,1,,60.6,2026-09-09T11:12:42,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,61.0,2026-09-09T11:14:34,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,12,blue,right,put the blue block in the right bowl,1,,60.3,2026-09-09T11:16:01,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,13,red,left,put the red block in the left bowl,1,,59.7,2026-09-09T11:18:02,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,14,blue,right,put the blue block in the right bowl,0,other,60.2,2026-09-09T11:20:10,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,15,red,left,put the red block in the left bowl,0,no_reach,59.4,2026-09-09T11:22:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,16,blue,right,put the blue block in the right bowl,1,,61.0,2026-09-09T11:24:22,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,17,red,left,put the red block in the left bowl,0,touch_no_grip,60.9,2026-09-09T11:25:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,59.5,2026-09-09T11:27:16,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,19,red,left,put the red block in the left bowl,1,,64.8,2026-09-09T11:28:35,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,20,blue,right,put the blue block in the right bowl,1,,61.4,2026-09-09T11:30:23,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,1,red,left,put the red block in the left bowl,1,,63.8,2026-09-09T22:06:55,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,2,blue,right,put the blue block in the right bowl,1,,62.7,2026-09-09T22:08:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,3,red,right,put the red block in the right bowl,0,no_reach,63.7,2026-09-09T22:14:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,4,blue,left,put the blue block in the left bowl,1,,63.2,2026-09-09T22:16:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,5,red,left,put the red block in the left bowl,1,,63.2,2026-09-09T22:17:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,6,blue,right,put the blue block in the right bowl,1,,63.4,2026-09-09T22:19:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,7,red,right,put the red block in the right bowl,1,,64.0,2026-09-09T22:20:55,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,8,blue,left,put the blue block in the left bowl,0,no_reach,62.7,2026-09-09T22:22:28,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,9,red,left,put the red block in the left bowl,0,touch_no_grip,62.7,2026-09-09T22:25:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,10,blue,right,put the blue block in the right bowl,1,,62.9,2026-09-09T22:26:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,11,red,right,put the red block in the right bowl,0,touch_no_grip,62.7,2026-09-09T22:28:18,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,12,blue,left,put the blue block in the left bowl,1,,61.9,2026-09-09T22:33:21,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,13,red,left,put the red block in the left bowl,1,,61.7,2026-09-09T22:34:37,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,14,blue,right,put the blue block in the right bowl,1,,61.3,2026-09-09T22:36:12,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,15,red,right,put the red block in the right bowl,0,touch_no_grip,62.0,2026-09-09T22:37:40,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,16,blue,left,put the blue block in the left bowl,0,touch_no_grip,61.5,2026-09-09T22:39:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,17,red,left,put the red block in the left bowl,0,no_reach,60.7,2026-09-09T22:40:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,18,blue,right,put the blue block in the right bowl,0,no_reach,63.9,2026-09-09T22:42:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,19,red,right,put the red block in the right bowl,0,touch_no_grip,62.2,2026-09-09T22:43:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,20,blue,left,put the blue block in the left bowl,0,drop,62.0,2026-09-09T22:45:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla_n10_pair,smolvla_n10_pair,1,red,left,put the red block in the left bowl,0,no_reach,65.8,2026-09-10T11:44:46,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,2,blue,right,put the blue block in the right bowl,0,drop,63.7,2026-09-10T11:46:16,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,3,red,left,put the red block in the left bowl,0,no_reach,63.6,2026-09-10T11:47:56,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,4,blue,right,put the blue block in the right bowl,0,no_reach,63.5,2026-09-10T11:51:04,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,62.7,2026-09-10T11:52:41,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,6,blue,right,put the blue block in the right bowl,0,no_reach,62.1,2026-09-10T11:54:48,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,7,red,left,put the red block in the left bowl,0,no_reach,62.0,2026-09-10T11:56:26,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,62.8,2026-09-10T11:57:53,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,9,red,left,put the red block in the left bowl,0,touch_no_grip,62.5,2026-09-10T11:59:22,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,10,blue,right,put the blue block in the right bowl,0,no_reach,62.6,2026-09-10T12:01:45,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,11,red,left,put the red block in the left bowl,0,no_reach,66.3,2026-09-10T19:17:24,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,12,blue,right,put the blue block in the right bowl,0,touch_no_grip,64.6,2026-09-10T19:19:20,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,13,red,left,put the red block in the left bowl,0,no_reach,63.2,2026-09-10T19:20:48,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,14,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.3,2026-09-10T19:22:38,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,15,red,left,put the red block in the left bowl,0,no_reach,61.8,2026-09-10T19:24:18,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,16,blue,right,put the blue block in the right bowl,0,no_reach,62.1,2026-09-10T19:25:46,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,17,red,left,put the red block in the left bowl,0,no_reach,62.2,2026-09-10T19:27:19,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,63.7,2026-09-10T19:28:47,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,19,red,left,put the red block in the left bowl,0,no_reach,62.4,2026-09-10T19:30:08,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,20,blue,right,put the blue block in the right bowl,0,no_reach,62.6,2026-09-10T19:31:36,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n25_pair,smolvla_n25_pair,1,red,left,put the red block in the left bowl,0,no_reach,62.3,2026-09-10T19:34:12,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,2,blue,right,put the blue block in the right bowl,0,drop,62.0,2026-09-10T19:36:10,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,3,red,left,put the red block in the left bowl,0,no_reach,63.0,2026-09-10T19:37:45,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,4,blue,right,put the blue block in the right bowl,1,,61.7,2026-09-10T19:39:05,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,63.1,2026-09-10T19:40:21,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,6,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.6,2026-09-10T19:41:41,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,61.7,2026-09-10T19:43:09,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,62.4,2026-09-10T19:44:44,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,9,red,left,put the red block in the left bowl,0,no_reach,62.1,2026-09-10T19:46:10,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,10,blue,right,put the blue block in the right bowl,0,touch_no_grip,61.7,2026-09-10T19:47:36,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,11,red,left,put the red block in the left bowl,0,no_reach,61.7,2026-09-10T19:48:46,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,12,blue,right,put the blue block in the right bowl,0,no_reach,61.9,2026-09-10T19:49:55,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,62.1,2026-09-10T19:51:14,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,14,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.8,2026-09-10T19:52:32,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,15,red,left,put the red block in the left bowl,0,touch_no_grip,62.1,2026-09-10T19:53:51,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,16,blue,right,put the blue block in the right bowl,0,no_reach,62.5,2026-09-10T19:55:10,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,17,red,left,put the red block in the left bowl,0,no_reach,63.7,2026-09-10T19:56:39,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,62.7,2026-09-10T19:57:53,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,19,red,left,put the red block in the left bowl,0,no_reach,63.0,2026-09-10T19:59:08,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n25_pair,smolvla_n25_pair,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.8,2026-09-10T20:00:40,experiments/checkpoints/smolvla_so101_blocks_n25_s0,sync
smolvla_n50_pair,smolvla_n50_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,66.2,2026-09-11T09:53:12,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,2,blue,right,put the blue block in the right bowl,1,,63.5,2026-09-11T09:54:37,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,3,red,left,put the red block in the left bowl,0,no_reach,61.9,2026-09-11T09:55:50,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.6,2026-09-11T09:57:16,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,5,red,left,put the red block in the left bowl,1,,62.0,2026-09-11T09:58:44,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,6,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.4,2026-09-11T10:00:05,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,7,red,left,put the red block in the left bowl,1,,62.2,2026-09-11T10:01:29,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,63.4,2026-09-11T10:03:35,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,9,red,left,put the red block in the left bowl,0,touch_no_grip,62.4,2026-09-11T10:05:43,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,10,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.7,2026-09-11T10:07:13,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,11,red,left,put the red block in the left bowl,0,no_reach,62.1,2026-09-11T10:08:31,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,12,blue,right,put the blue block in the right bowl,0,touch_no_grip,62.3,2026-09-11T10:09:49,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,13,red,left,put the red block in the left bowl,1,,62.2,2026-09-11T10:11:06,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,14,blue,right,put the blue block in the right bowl,0,no_reach,62.8,2026-09-11T10:12:58,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,15,red,left,put the red block in the left bowl,1,,63.2,2026-09-11T10:14:49,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,16,blue,right,put the blue block in the right bowl,1,,62.9,2026-09-11T10:16:06,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,17,red,left,put the red block in the left bowl,0,no_reach,62.8,2026-09-11T10:18:12,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,64.2,2026-09-11T10:19:46,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,19,red,left,put the red block in the left bowl,1,,62.4,2026-09-11T10:21:07,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_n50_pair,smolvla_n50_pair,20,blue,right,put the blue block in the right bowl,1,,65.3,2026-09-11T10:23:05,experiments/checkpoints/smolvla_so101_blocks_n50_s0,sync
smolvla_toponly_pair,smolvla_toponly_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,59.5,2026-09-11T10:58:38,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,2,blue,right,put the blue block in the right bowl,0,no_reach,58.3,2026-09-11T11:02:04,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,3,red,left,put the red block in the left bowl,0,touch_no_grip,57.3,2026-09-11T11:03:35,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,4,blue,right,put the blue block in the right bowl,1,,57.2,2026-09-11T11:07:37,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,5,red,left,put the red block in the left bowl,0,no_reach,57.3,2026-09-11T11:09:01,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,6,blue,right,put the blue block in the right bowl,0,no_reach,57.1,2026-09-11T11:10:26,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,7,red,left,put the red block in the left bowl,0,no_reach,59.0,2026-09-11T11:11:47,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,56.7,2026-09-11T11:13:09,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,9,red,left,put the red block in the left bowl,0,no_reach,56.9,2026-09-11T11:14:28,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,10,blue,right,put the blue block in the right bowl,1,,57.3,2026-09-11T11:15:55,experiments/checkpoints/smolvla_nowrist_n100,sync
smolvla_toponly_pair,smolvla_toponly_pair,11,red,left,put the red block in the left bowl,1,,57.5,2026-09-11T11:17:09,experiments/checkpoints/smolvla_nowrist_n100,sync
